site,Snail no.,survey,collection date,collected by,dissection date,dissected by ,processed by ,buried? ,length (mm),sex,"parth/ gonad state 1 (r,p,n)","parth/ gonad state 2 (r,p,n)","parth/ gonad state 3 (r,p,n)",early 1? ( y/n),early 2? (y/n),early 3? (y/n),trematode 1,trematode 2,trematode 3,fixed for genetics?,"crab dam (n,s,a)",MCs hima,cata,phil,notes
c3,8,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,21.7,m,n,,,,,,u,,,,,,,,
c3,9,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,28.5,f,n,,,,,,u,,,,,,,,
c3,10,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",e,24.3,f,r,,,,,,stic,,,,,,,,
c3,11,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,26.9,m,p,,,,,,euha,,,,,,,,
c3,12,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,26.3,f,n,,,,,,euha,,,,,,,,
c3,13,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",e,25.5,f,n,,,,,,u,,,,,,,,
c3,14,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,16.2,m,n,,,,,,u,,,,,,,,
c3,15,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,23.9,f,n,,,,,,u,,,,,,,,
c3,16,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW/RH,"RH, TS, AW",b,17.6,m,n,,,,,,u,,,,n,1,0,0,HIMA was dead
c3,17,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,22.3,m,r,,,,,,euha,,,,,,,,
c3,18,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,23,m,r,,,,,,euha,,,,,,,,
c3,19,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,18.3,f,n,,,,,,u,,,,,,,,
c3,20,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,21.8,f,n,,,,,,u,,,,,,,,
c3,21,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,23.2,f,n,,,,,,paro,,,,,,,,
c3,22,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,26,m,r,,,,,,renb,,,,,,,,
c3,23,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,21.4,m,n,,,,,,u,,,,,,,,
c3,24,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,24.1,m,r,,,,,,u,,,,,,,,
c3,25,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,19.1,f,n,,,,,,u,,,,,,,,
c3,26,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,23.6,m,r,,,,,,u,,,,,,,,
c3,27,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,27.2,f,r,,,,,,euha,,,,,,,,
c3,28,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,22.4,f,r,,,,,,euha,,,,,,,,
c3,29,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,22.6,m,r,,,,,,u,,,,,,,,
c3,30,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,23.6,f,n,,,,,,u,,,,,,,,
c3,31,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,21.7,f,r,,,,,,hima,,,,n,5,0,0,
c3,32,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,25,f,n,,,,,,u,,,,,,,,
c3,33,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,23.2,m,n,,,y,,,imht,,,y,,,,,RH consult
c3,34,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,20.7,m,r,,,,,,u,,,,n,0,0,0,
c3,35,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS,"RH, TS, AW",b,22.1,m,r,,,,,,u,,,,n,0,0,0,
c3,36,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,20.2,f,n,,,,,,u,,,,a,0,0,0,
c3,37,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,TS?,"RH, TS, AW",b,22.3,f,n,,,,,,u,,,,,,,,
c3,38,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,31.1,f,p,,,,,,cloa,,,,,,,,
c3,39,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,22,m,n,,,,,,u,,,,n,0,0,0,(1 MC scar-probably was one but fell off)
c3,40,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,26,f,n,,,,,,u,,,,,,,,
c3,41,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,26.4,m,n,,,,,,pygi,,,,,,,,
c3,42,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,20,m,n,,,,,,u,,,,,,,,
c3,43,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,20.2,f,n,,,,,,u,,,,,,,,
c3,44,12-Feb,14-Feb-12,"TS, RH, AW",17-Feb-12,AW,"RH, TS, AW",b,21,m,n,,,,,,u,,,,,,,,
