id,interaction_strength,priority_effects,cf_ratio,strains,sample_prop,richness_count
93,0.6927054757745645,TRUE,0.5037092798069586,60,0.8820408324595611,29
94,0.3019137534936249,TRUE,0.9407884117856389,184,0.3541527436252467,15
95,0.3213299733986962,FALSE,0.46305911155990326,19,0.6472039585156042,1
96,0.18475826157670233,TRUE,0.8127248063961975,150,0.6022104023235352,34
97,0.7104268956897373,TRUE,0.7153256375350291,172,0.989951710165531,1
98,0.4136204060060147,FALSE,0.7074256869198754,32,0.6533486549806926,14
99,0.2498823028319457,TRUE,0.9621546414740151,98,0.8589174237496264,26
100,0.613211787850305,TRUE,0.32493286894494666,63,0.8853839104208436,56
101,0.017908614915912037,FALSE,0.09629664319546427,58,0.44051694832048566,58
102,0.42124682002189223,TRUE,0.44820489077153614,161,0.6215706182311508,118
103,0.18331359636813288,TRUE,0.8225717770355288,144,0.6489459160249559,7
104,0.11197009454809595,TRUE,0.6200692809474655,167,0.5096512084612446,128
105,0.030771938499802493,TRUE,0.8566907981264871,28,0.2423663497930933,0
106,0.5654044938693813,FALSE,0.9981575678997441,36,0.5830454058442589,10
107,0.5616616729610657,FALSE,0.15890001577830407,136,0.34017068753100305,11
108,0.14605709297404973,TRUE,0.8577852034219541,193,0.12502493351486302,8
109,0.013055661284539383,FALSE,0.6166404242643854,123,0.18019406826717363,122
110,0.5427338559769734,TRUE,0.8407057889118791,57,0.025277207884358707,10
111,0.13275595702733262,FALSE,0.2636625969817629,77,0.852733159243074,77
112,0.00359855537811527,TRUE,0.4637298526345985,92,0.0772864592995881,91
113,0.3085052421703935,FALSE,0.4838713339099893,187,0.4184985816365981,133
114,0.3233468984097708,FALSE,0.06929050024775789,182,0.3068910408016429,4
115,0.32108314722774667,FALSE,0.016166015630890616,74,0.9128172668622495,70
116,0.40536855479995726,FALSE,0.41694253443318885,109,0.11621202605171081,0
117,0.5762461599768489,FALSE,0.8483803661100566,74,0.519911728156642,10
118,0.529598961906071,FALSE,0.1731599153600633,186,0.4877454933130846,119
119,0.5659535710809985,TRUE,0.9051435850727372,155,0.06659781142122531,3
120,0.6467278950154957,TRUE,0.40098919890332035,164,0.4097543534707315,102
121,0.09002672750702477,FALSE,0.5175760979901534,154,0.015926443738956006,2
122,0.46090259700352326,TRUE,0.566196986681316,20,0.48178864359002116,18
123,0.51230304160238,FALSE,0.9670302149473456,103,0.42358577739316206,0
124,0.31870048795028705,FALSE,0.23045786521397532,155,0.5088505243135345,147
125,0.5020178446697071,TRUE,0.5669641700066393,135,0.46562277861128704,42
126,0.6986526637562841,TRUE,0.5680638595005497,85,0.6913044003306636,1
127,0.506210184610798,FALSE,0.34297387998360207,170,0.9458181560031791,162
128,0.34501600098321794,FALSE,0.15385445073344745,125,0.3424786941862912,108
129,0.5842737093598523,FALSE,0.2941400225951569,51,0.35931483638315437,50
130,0.5428583836027769,FALSE,0.6105548137302976,38,0.7003483324053495,17
131,0.5502006411450624,FALSE,0.5502626424655085,154,0.6634015323255542,40
132,0.43066794839564243,TRUE,0.9297371210637037,64,0.13505949164876413,13
133,0.6411835029533948,TRUE,0.043849478269880636,52,0.28694209087587896,51
134,0.3036323327168939,TRUE,0.3531728387330193,188,0.9851080929558,1
135,0.6144065223371261,FALSE,0.29405654641396833,174,0.438164129069817,166
136,0.6157851054500789,TRUE,0.13535639286253134,63,0.5653020082374979,14
137,0.018717274251335764,TRUE,0.6871229947124142,37,0.8428330056564854,15
138,0.5849807683775725,TRUE,0.9705997011972126,87,0.44656066878603234,6
139,0.26369276017728843,FALSE,0.7011271251735045,49,0.3281887807845757,5
140,0.007152246609516442,FALSE,0.8412076252703787,183,0.12475052874808129,182
141,0.7349550529648724,FALSE,0.9996642963161692,11,0.5907555349081298,4
142,0.44007830718808105,FALSE,0.6598409940746612,21,0.3661260720846518,1
143,0.361668548563763,FALSE,0.8077468040780863,44,0.9484413337682647,16
144,0.7483767503202252,TRUE,0.07313233068797272,18,0.03897418472349737,0
145,0.7284869930206449,TRUE,0.8593243630853714,175,0.6609208809704177,13
146,0.1992670619365352,TRUE,0.05884399886787869,184,0.6537145414629064,184
147,0.2067056867261301,FALSE,0.7593338915602071,162,0.1533895277560423,32
148,0.011677177657705033,TRUE,0.3888709359049564,67,0.02777416363397474,17
149,0.5696129550811776,FALSE,0.43268686952325514,40,0.3078740806288344,32
150,0.13011495291205938,FALSE,0.3200498549167765,184,0.7652760229055197,1
151,0.45015373915413515,FALSE,0.34805040401862936,30,0.23805900063246374,0
152,0.5832900692964031,TRUE,0.4363699697439792,166,0.17940724005980022,92
153,0.7221214250128717,TRUE,0.3121968468552921,51,0.5277240293272472,0
154,0.11739646082523394,TRUE,0.40349890351875217,193,0.46216731851812476,193
155,0.7105727181981434,FALSE,0.866730206283764,82,0.1965461162860731,8
156,0.10398608005911811,TRUE,0.8288982390759978,115,0.10406478193265059,34
157,0.6147690131686453,TRUE,0.7876655358673306,14,0.17241064152665925,3
158,0.6092288107024448,FALSE,0.38314353799696543,50,0.2215160352085843,0
159,0.23164370186097805,FALSE,0.0515826786208665,114,0.5327542775961458,0
160,0.2167593797371723,TRUE,0.691465181788057,76,0.8048238560740387,43
161,0.1502466607239854,FALSE,0.5212973793558544,44,0.5366949617807854,3
162,0.21808937662092504,TRUE,0.4023347797864815,126,0.11445549169056536,116
163,0.5947743286696903,FALSE,0.961166399022541,80,0.5364973261950459,11
164,0.02532826835020096,TRUE,0.4909389765726868,162,0.9956048410695045,162
165,0.07041993365945527,TRUE,0.6625683577216696,175,0.8466612469864933,138
166,0.4669169319709937,FALSE,0.9364208216967993,94,0.0982227262376626,16
167,0.24815568940909577,TRUE,0.1559734850015957,198,0.13389141955545147,167
168,0.254424466648564,TRUE,0.11435215128397104,110,0.22162577125702845,107
169,0.7164786703926511,FALSE,0.9165119967297185,119,0.7203782360143133,3
170,0.700382489648735,FALSE,0.2868581133297877,139,0.8446092902428364,134
171,0.12542515596121084,FALSE,0.012565206894651055,156,0.45900850451199665,154
172,0.01721108992032241,TRUE,0.7326740283642663,173,0.6771077172573078,39
173,0.31440956174504825,TRUE,0.0527495461784536,167,0.8190208925157294,161
174,0.4915693483958894,TRUE,0.796059647873952,109,0.9655690410135609,0
175,0.5152750847808493,FALSE,0.6192306510511321,95,0.6321360595841902,13
176,0.6213846069425053,FALSE,0.8889735971330665,14,0.6059404883307176,0
177,0.39256748357243487,TRUE,0.4582233615926933,139,0.08401267299038125,30
178,0.6789260478425772,FALSE,0.5264189655398251,22,0.8659795145095682,17
